schema,tablename,tablepkey,field
public,item,item_id,item_number
public,item,item_id,item_descrip1
public,item,item_id,item_descrip2
public,item,item_id,item_comments
public,item,item_id,item_upccode
public,item,item_id,item_mrkt_title
public,item,item_id,item_mrkt_subtitle
public,item,item_id,item_mrkt_teaser
public,item,item_id,item_mrkt_seokey
public,item,item_id,item_mrkt_seotitle
public,itemsrc,itemsrc_id,itemsrc_vend_item_number
public,itemsrc,itemsrc_id,itemsrc_comments
public,itemsrc,itemsrc_id,itemsrc_vend_uom
public,itemsrc,itemsrc_id,itemsrc_manuf_name
public,itemsrc,itemsrc_id,itemsrc_manuf_item_number
public,itemsrc,itemsrc_id,itemsrc_upccode
public,charass,charass_id,charass_value
